id,session_id,month_year,assigned_to,document_count,categorized_count,skipped_count,assigned_at,completed_at,created_at,updated_at
89819cce-888b-4d13-bee7-be8c5345d98a,8267942a-3721-4956-b866-3aad8e56a1bb,2015-11,922bde00-234f-4016-99b1-241e6574c57f,154,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:45.692+00,2025-12-09 10:43:17.774+00
ffadb86a-9d51-417c-9e9d-8e65d929481f,8267942a-3721-4956-b866-3aad8e56a1bb,2015-10,922bde00-234f-4016-99b1-241e6574c57f,96,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:09.197+00,2025-12-09 10:40:35.676+00
aa4e7876-4bd8-49bf-8dbb-1399c9721d17,8267942a-3721-4956-b866-3aad8e56a1bb,2015-12,922bde00-234f-4016-99b1-241e6574c57f,168,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:45.747+00,2025-12-09 10:43:17.793+00
a849d168-347a-4bb9-b750-4e064a0d9255,8267942a-3721-4956-b866-3aad8e56a1bb,2022-06,c68e707c-d813-402b-adf1-b7989c4a39d9,170,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 08:06:17.323+00,2025-12-12 12:04:53.842+00
c9a9de37-2c30-4fee-bd15-ad44c31e56e8,8267942a-3721-4956-b866-3aad8e56a1bb,2020-04,c68e707c-d813-402b-adf1-b7989c4a39d9,163,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 08:29:47.965+00,2025-12-12 12:04:53.842+00
6275e9e6-5e62-4bd4-9eb4-1b18f68bd6ea,8267942a-3721-4956-b866-3aad8e56a1bb,2024-12,,254,0,0,,,2025-12-09 08:07:48.859+00,2025-12-09 10:34:05.937+00
fc06ea34-403f-4273-801a-ac21b51b0a4a,8267942a-3721-4956-b866-3aad8e56a1bb,2017-12,922bde00-234f-4016-99b1-241e6574c57f,197,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:46.071+00,2025-12-09 10:43:17.988+00
f100691c-f389-446d-a9e7-9f71af01177e,8267942a-3721-4956-b866-3aad8e56a1bb,2021-12,c68e707c-d813-402b-adf1-b7989c4a39d9,174,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:58:50.072+00,2025-12-12 12:04:53.842+00
091db8e7-ecc3-4993-bc5c-bde7e30ba1e4,8267942a-3721-4956-b866-3aad8e56a1bb,2018-12,c68e707c-d813-402b-adf1-b7989c4a39d9,186,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:52:28.489+00,2025-12-12 12:04:53.842+00
d774a75c-4e3c-4c55-b664-55bd0c900793,8267942a-3721-4956-b866-3aad8e56a1bb,2017-09,c68e707c-d813-402b-adf1-b7989c4a39d9,339,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:51:36.223+00,2025-12-12 12:04:53.842+00
417faf8c-b5c0-4cd4-8491-429b6e2b6b20,8267942a-3721-4956-b866-3aad8e56a1bb,2017-10,922bde00-234f-4016-99b1-241e6574c57f,361,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:46.059+00,2025-12-09 10:43:17.967+00
3a90451b-1b8a-49ae-970c-df27052733a0,8267942a-3721-4956-b866-3aad8e56a1bb,2019-01,c68e707c-d813-402b-adf1-b7989c4a39d9,245,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:53:06.699+00,2025-12-12 12:04:53.842+00
a96592e0-8466-4c5c-b281-36fc7d1a6b6c,8267942a-3721-4956-b866-3aad8e56a1bb,2013-07,922bde00-234f-4016-99b1-241e6574c57f,3,2,1,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.335+00,2025-12-13 09:58:37.779+00
5deea334-d28b-4202-96a7-2f31912602f4,8267942a-3721-4956-b866-3aad8e56a1bb,2014-11,922bde00-234f-4016-99b1-241e6574c57f,46,15,31,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.267+00,2025-12-13 10:10:46.558+00
3fd8bd39-84a6-4a5c-8f61-37ddca6c55bc,8267942a-3721-4956-b866-3aad8e56a1bb,2014-12,922bde00-234f-4016-99b1-241e6574c57f,100,1,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.17+00,2025-12-13 10:10:57.808+00
baddc78a-0fee-4482-8e0c-bd0cb3a619ac,8267942a-3721-4956-b866-3aad8e56a1bb,2020-07,c68e707c-d813-402b-adf1-b7989c4a39d9,120,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 08:29:48.005+00,2025-12-12 12:04:53.842+00
2bc75480-7ba4-4ee1-ad7f-252956a8958d,8267942a-3721-4956-b866-3aad8e56a1bb,2025-05,,658,0,0,,,2025-12-09 08:08:44.996+00,2025-12-09 10:35:51.025+00
c4e69491-3b28-4e61-96ca-1541c8f5fbfa,8267942a-3721-4956-b866-3aad8e56a1bb,2015-07,922bde00-234f-4016-99b1-241e6574c57f,139,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:09.149+00,2025-12-09 10:43:17.741+00
7f0750fb-8c4d-4f48-b8db-9a53a14747db,8267942a-3721-4956-b866-3aad8e56a1bb,2018-09,922bde00-234f-4016-99b1-241e6574c57f,215,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.868+00,2025-12-09 10:43:54.766+00
e4727155-3644-47bd-95b7-23d632077d1b,8267942a-3721-4956-b866-3aad8e56a1bb,2025-07,,353,0,0,,,2025-12-09 08:09:35.027+00,2025-12-09 10:36:57.041+00
213a3280-8a54-40c7-ae53-ad16a77535eb,8267942a-3721-4956-b866-3aad8e56a1bb,2023-04,c68e707c-d813-402b-adf1-b7989c4a39d9,192,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 08:01:46.163+00,2025-12-12 12:04:53.842+00
3e4bb69e-21fd-4025-94b7-bd9e00d03825,8267942a-3721-4956-b866-3aad8e56a1bb,2025-06,,421,0,0,,,2025-12-09 07:57:21.879+00,2025-12-09 10:36:26.389+00
c09e3d4e-bc3a-43d8-936a-3499429ddaf2,8267942a-3721-4956-b866-3aad8e56a1bb,2023-08,c68e707c-d813-402b-adf1-b7989c4a39d9,142,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:59:28.523+00,2025-12-12 12:04:53.842+00
02499bcd-4e7d-46c9-83aa-8908dc89dc17,8267942a-3721-4956-b866-3aad8e56a1bb,2022-08,c68e707c-d813-402b-adf1-b7989c4a39d9,173,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 08:00:35.394+00,2025-12-12 12:04:53.842+00
c226861c-dcc2-4329-87c1-cf4e119611a9,8267942a-3721-4956-b866-3aad8e56a1bb,2025-11,922bde00-234f-4016-99b1-241e6574c57f,49,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.099+00,2025-12-09 10:38:27.453+00
95aabb21-d09b-4a24-8771-91228d35647e,8267942a-3721-4956-b866-3aad8e56a1bb,2018-10,922bde00-234f-4016-99b1-241e6574c57f,226,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.873+00,2025-12-09 10:43:54.772+00
b71d8893-2195-472c-ae88-6f24c0ae88fc,8267942a-3721-4956-b866-3aad8e56a1bb,2019-04,922bde00-234f-4016-99b1-241e6574c57f,210,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.89+00,2025-12-09 10:43:54.858+00
faffc1c4-17c3-41c1-913e-b258ba724c76,8267942a-3721-4956-b866-3aad8e56a1bb,2022-03,c68e707c-d813-402b-adf1-b7989c4a39d9,351,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:56:20.756+00,2025-12-12 12:04:53.842+00
c231e7c0-d0f1-467d-a9ff-45b360040e9c,8267942a-3721-4956-b866-3aad8e56a1bb,2019-09,c68e707c-d813-402b-adf1-b7989c4a39d9,176,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:54:11.007+00,2025-12-12 12:04:53.842+00
